Title,Duration,Genre,Rating,Gross,Director,Lead,Year
Sleepless,95 min,"Action, Crime, Thriller",R,20.78,Baran bo Odar,Jamie Foxx,III 2017
Blair Witch,89 min,"Horror, Mystery, Thriller",R,20.78,Adam Wingard,James Allen McCune,2016
The Dead Zone,103 min,"Drama, Horror, Sci-Fi",R,20.77,David Cronenberg,Christopher Walken,1983
Jaws: The Revenge,89 min,"Adventure, Horror, Thriller",PG-13,20.76,Joseph Sargent,Lorraine Gary,1987
Fear,97 min,"Drama, Thriller",R,20.75,James Foley,Mark Wahlberg,1996
The Happytime Murders,91 min,"Action, Comedy, Crime",R,20.71,Brian Henson,Melissa McCarthy,2018
Land of the Dead,93 min,"Horror, Sci-Fi, Thriller",R,20.7,George A. Romero,John Leguizamo,2005
Mad Money,104 min,"Comedy, Crime, Thriller",PG-13,20.67,Callie Khouri,Diane Keaton,2008
F/X,109 min,"Action, Thriller",R,20.6,Robert Mandel,Bryan Brown,1986
The Invisible,102 min,"Crime, Drama, Fantasy",PG-13,20.57,David S. Goyer,Justin Chatwin,2007
Chain Reaction,107 min,"Action, Drama, Sci-Fi",PG-13,20.55,Andrew Davis,Keanu Reeves,1996
SuperFly,116 min,"Action, Crime, Thriller",R,20.55,Director X.,Trevor Jackson,2018
The Circle,110 min,"Drama, Sci-Fi, Thriller",PG-13,20.5,James Ponsoldt,Emma Watson,I 2017
Gamer,95 min,"Action, Sci-Fi, Thriller",R,20.49,Mark Neveldine,Brian Taylor,2009
The In-Laws,98 min,"Action, Comedy, Thriller",PG-13,20.44,Andrew Fleming,Albert Brooks,I 2003
F.I.S.T.,145 min,"Crime, Drama, Thriller",PG,20.39,Norman Jewison,Sylvester Stallone,1978
Valentine,96 min,"Horror, Mystery, Thriller",R,20.38,Jamie Blanks,Denise Richards,2001
The Three Musketeers,110 min,"Action, Adventure, Fantasy",PG-13,20.38,Paul W.S. Anderson,Logan Lerman,2011
Sudden Death,111 min,"Action, Crime, Thriller",R,20.35,Peter Hyams,Jean-Claude Van Damme,1995
Code of Silence,101 min,"Action, Crime, Drama",R,20.35,Andrew Davis,Chuck Norris,1985
Gone Baby Gone,114 min,"Crime, Drama, Mystery",R,20.3,Ben Affleck,Morgan Freeman,2007
Brick Mansions,90 min,"Action, Crime, Thriller",PG-13,20.29,Camille Delamarre,Paul Walker,2014
The Cowboy Way,102 min,"Action, Comedy, Crime",PG-13,20.28,Gregg Champion,Woody Harrelson,1994
Premium Rush,91 min,"Action, Crime, Thriller",PG-13,20.28,David Koepp,Joseph Gordon-Levitt,2012
Pulse,90 min,"Horror, Sci-Fi, Thriller",PG-13,20.26,Jim Sonzero,Kristen Bell,I 2006
Action Jackson,96 min,"Action, Comedy, Crime",R,20.26,Craig R. Baxley,Carl Weathers,1988
Vampires,108 min,"Action, Horror, Thriller",R,20.24,John Carpenter,James Woods,1998
City Hall,111 min,"Crime, Drama, Mystery",R,20.2,Harold Becker,Al Pacino,1996
Secret in Their Eyes,111 min,"Crime, Drama, Mystery",PG-13,20.18,Billy Ray,Chiwetel Ejiofor,2015
A Force of One,90 min,"Action, Crime, Drama",PG,20.17,Paul Aaron,Jennifer O'Neill,1979
Homefront,100 min,"Action, Crime, Thriller",R,20.16,Gary Fleder,Jason Statham,I 2013
